# mesh name: mesh_x
# mesh half-size: (25,0.5,0.5) [cm] 
# mesh center: (0,0,1.4) [cm] 
# mesh segments: 500 1 1
# primitive scorer name: dose
# mesh dx dy dz: 0.1 1 1
# iX, iY, iZ, X [cm], Y [cm], Z [cm], total(value) [Gy], total(val^2), entry
90,0,0,-15.99999999999987,-0.5,0.9,4.493645347256223e-11,1.053265513810968e-22,68
91,0,0,-15.89999999999987,-0.5,0.9,4.317784812163959e-11,1.061370380615804e-22,62
92,0,0,-15.79999999999987,-0.5,0.9,8.450742551012334e-11,3.379947478789813e-22,102
93,0,0,-15.69999999999987,-0.5,0.9,7.787935154971552e-11,4.522814460942567e-22,87
94,0,0,-15.59999999999988,-0.5,0.9,7.034339975219147e-11,2.243514984860057e-22,81
95,0,0,-15.49999999999988,-0.5,0.9,9.051649754804094e-11,5.945208721349813e-22,73
96,0,0,-15.39999999999988,-0.5,0.9,1.017565751310509e-10,6.861527683155578e-22,83
97,0,0,-15.29999999999988,-0.5,0.9,6.683893875246217e-11,3.68988773312425e-22,70
98,0,0,-15.19999999999988,-0.5,0.9,1.079755132379374e-10,1.156741060797045e-21,85
99,0,0,-15.09999999999988,-0.5,0.9,5.626702474572677e-11,1.663028544971453e-22,86
100,0,0,-14.99999999999988,-0.5,0.9,6.926673956006773e-11,2.57788047321877e-22,93
101,0,0,-14.89999999999988,-0.5,0.9,7.792942285971804e-11,6.89546575792174e-22,77
102,0,0,-14.79999999999988,-0.5,0.9,8.466825692375597e-11,8.090204419039534e-22,92
103,0,0,-14.69999999999988,-0.5,0.9,5.340392819607088e-11,1.851150519281627e-22,83
104,0,0,-14.59999999999988,-0.5,0.9,6.494278591679583e-11,2.035812604787975e-22,85
105,0,0,-14.49999999999988,-0.5,0.9,6.860245187776695e-11,2.132432263999196e-22,83
106,0,0,-14.39999999999988,-0.5,0.9,7.806277901055527e-11,4.38857476424644e-22,92
107,0,0,-14.29999999999988,-0.5,0.9,5.869627495067168e-11,1.147632378677655e-22,92
108,0,0,-14.19999999999988,-0.5,0.9,9.822828807240294e-11,5.294381377779312e-22,89
109,0,0,-14.09999999999988,-0.5,0.9,1.057376425196465e-10,5.08708945546164e-22,105
110,0,0,-13.99999999999988,-0.5,0.9,7.775580412943931e-11,3.64119313381692e-22,98
111,0,0,-13.89999999999988,-0.5,0.9,8.7318337528797e-11,4.706076200652111e-22,98
112,0,0,-13.79999999999988,-0.5,0.9,7.63692080595288e-11,1.906409751200923e-22,112
113,0,0,-13.69999999999988,-0.5,0.9,7.923524244189597e-11,2.007350789376412e-22,105
114,0,0,-13.59999999999988,-0.5,0.9,6.115113885984737e-11,2.156311139046183e-22,110
115,0,0,-13.49999999999988,-0.5,0.9,7.953174227811032e-11,4.346752446629461e-22,83
116,0,0,-13.39999999999988,-0.5,0.9,1.259478089594125e-10,9.92516678711703e-22,113
117,0,0,-13.29999999999988,-0.5,0.9,1.605454948719276e-10,1.210428714934668e-21,104
118,0,0,-13.19999999999988,-0.5,0.9,9.227925262083769e-11,3.068861113464622e-22,105
119,0,0,-13.09999999999988,-0.5,0.9,1.122652609979428e-10,5.747145626692646e-22,114
120,0,0,-12.99999999999988,-0.5,0.9,8.982181686208691e-11,3.19237755650848e-22,103
121,0,0,-12.89999999999988,-0.5,0.9,1.407508095729621e-10,1.156740891687842e-21,131
