# PRIMO
# version: 0.3.1.1772
# Project ID: Kalibracja5
#
# Calculated curve
# x(cm)  y(cm)  z(cm)  Dose[eV/g]
#------------------------------------------------
   0.00E+000     0.00E+000     3.03E+001    1.1112E-001
   0.00E+000     0.00E+000     3.04E+001    1.1098E-001
   0.00E+000     0.00E+000     3.05E+001    1.1046E-001
   0.00E+000     0.00E+000     3.06E+001    1.0995E-001
   0.00E+000     0.00E+000     3.07E+001    1.0915E-001
   0.00E+000     0.00E+000     3.08E+001    1.0836E-001
   0.00E+000     0.00E+000     3.09E+001    1.0780E-001
   0.00E+000     0.00E+000     3.10E+001    1.0724E-001
   0.00E+000     0.00E+000     3.11E+001    1.0681E-001
   0.00E+000     0.00E+000     3.12E+001    1.0639E-001
   0.00E+000     0.00E+000     3.13E+001    1.0562E-001
   0.00E+000     0.00E+000     3.14E+001    1.0485E-001
   0.00E+000     0.00E+000     3.15E+001    1.0433E-001
   0.00E+000     0.00E+000     3.16E+001    1.0381E-001
   0.00E+000     0.00E+000     3.17E+001    1.0282E-001
   0.00E+000     0.00E+000     3.18E+001    1.0183E-001
   0.00E+000     0.00E+000     3.19E+001    1.0136E-001
   0.00E+000     0.00E+000     3.20E+001    1.0090E-001
   0.00E+000     0.00E+000     3.21E+001    1.0031E-001
   0.00E+000     0.00E+000     3.22E+001    9.9723E-002
   0.00E+000     0.00E+000     3.23E+001    9.9212E-002
   0.00E+000     0.00E+000     3.24E+001    9.8701E-002
   0.00E+000     0.00E+000     3.25E+001    9.8185E-002
   0.00E+000     0.00E+000     3.26E+001    9.7668E-002
   0.00E+000     0.00E+000     3.27E+001    9.6950E-002
   0.00E+000     0.00E+000     3.28E+001    9.6232E-002
   0.00E+000     0.00E+000     3.29E+001    9.5486E-002
   0.00E+000     0.00E+000     3.30E+001    9.4740E-002
   0.00E+000     0.00E+000     3.31E+001    9.4435E-002
   0.00E+000     0.00E+000     3.32E+001    9.4131E-002
   0.00E+000     0.00E+000     3.33E+001    9.3274E-002
   0.00E+000     0.00E+000     3.34E+001    9.2418E-002
   0.00E+000     0.00E+000     3.35E+001    9.2393E-002
   0.00E+000     0.00E+000     3.36E+001    9.2368E-002
   0.00E+000     0.00E+000     3.37E+001    9.1771E-002
   0.00E+000     0.00E+000     3.38E+001    9.1173E-002
   0.00E+000     0.00E+000     3.39E+001    9.0145E-002
   0.00E+000     0.00E+000     3.40E+001    8.9117E-002
   0.00E+000     0.00E+000     3.41E+001    8.9244E-002
   0.00E+000     0.00E+000     3.42E+001    8.9371E-002
   0.00E+000     0.00E+000     3.43E+001    8.8747E-002
   0.00E+000     0.00E+000     3.44E+001    8.8123E-002
   0.00E+000     0.00E+000     3.45E+001    8.7284E-002
   0.00E+000     0.00E+000     3.46E+001    8.6444E-002
   0.00E+000     0.00E+000     3.47E+001    8.5792E-002
   0.00E+000     0.00E+000     3.48E+001    8.5141E-002

