#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:32|FiberSleeve v2:1;            270.9999999999;126.3249999999;211.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:32|Bottom_ver4 v3:1;            271.0;266.3249999999;210.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:32|Top_ver4 v2:1;               271.0;266.3249999999;214.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33;                             271.0;307.7341592196;225.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33|D3DF_SC_Cell v6:1;           271.0;283.6749999999;224.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33|Fiber v2:1;                  271.0;423.6749999999;224.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33|FiberSleeve v2:1;            271.0000000001;423.6749999999;224.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33|Bottom_ver4 v3:1;            271.0;283.6749999999;223.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:33|Top_ver4 v2:1;               271.0;283.675;227.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34;                             271.0;242.2658407802;225.0741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34|D3DF_SC_Cell v6:1;           271.0;266.3249999999;224.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34|Fiber v2:1;                  271.0;126.3249999999;224.8000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34|FiberSleeve v2:1;            270.9999999999;126.3249999999;224.8
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34|Bottom_ver4 v3:1;            271.0;266.3249999999;223.31992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:34|Top_ver4 v2:1;               271.0;266.3249999999;227.4954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35;                             271.0;307.7341592196;238.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35|D3DF_SC_Cell v6:1;           271.0;283.6749999999;238.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35|Fiber v2:1;                  271.0;423.6749999999;238.0000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35|FiberSleeve v2:1;            271.0000000001;423.6749999999;238.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35|Bottom_ver4 v3:1;            271.0;283.6749999999;236.51992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:35|Top_ver4 v2:1;               271.0;283.675;240.6954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:36;                             271.0;242.2658407802;238.2741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:36|D3DF_SC_Cell v6:1;           271.0;266.3249999999;238.0
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:36|Fiber v2:1;                  271.0;126.3249999999;238.0000000001
