#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
Phantom v18|Assembly v13:1|Tunnel_PLA:1;                                        147.0081304933;67.95;80.3790522948
Phantom v18|Assembly v13:1|Tunnel_PLA:1|tunel_layer1 v4:1;                      170.3123459339;67.95;80.425
Phantom v18|Assembly v13:1|Tunnel_PLA:1|tunel_layer2_4_6 v4:1;                  161.5245333493;67.95;80.3145075787
Phantom v18|Assembly v13:1|Tunnel_PLA:1|tunel_layer3_5 v4:1;                    153.9030697877;67.95;80.4250000007
Phantom v18|Assembly v13:1|Tunnel_PLA:1|tunel_layer2_4_6 v4:2;                  146.1245333493;67.95;80.3145075787
Phantom v18|Assembly v13:1|Tunnel_PLA:1|tunel_layer3_5 v4:2;                    138.5030697877;67.95;80.4250000007
Phantom v18|Assembly v13:1|Tunnel_PLA:1|tunel_layer2_4_6 v4:3;                  130.7245333493;67.95;80.3145075787
Phantom v18|Assembly v13:1|Tunnel_PLA:1|tunel_layer7 v4:1;                      122.95;67.95;80.425
Phantom v18|Phantom:1;                                                          93.676721855;170.1617818544;90.3511337154
Phantom v18|Phantom:1|SideHip v4:1;                                             2.4724538555;104.648652629;90.0
Phantom v18|Phantom:1|Plate10 v3:9;                                             95.0;90.0;45.0
Phantom v18|Phantom:1|M6_screw v5:2;                                            5.0416878237;34.9999999998;20.0
Phantom v18|Phantom:1|M6_screw v5:3;                                            5.0416878237;144.9999999998;160.0
Phantom v18|Phantom:1|SideExt v4:1;                                             95.0;90.0;175.1425886034
Phantom v18|Phantom:1|M6_screw v5:1;                                            5.0416878237;19.9999999998;145.0
Phantom v18|Phantom:1|Bar20x20x10_PLA v4:1;                                     20.0;20.0;60.0
Phantom v18|Phantom:1|Plate10 v3:8;                                             95.0;90.0;35.0
Phantom v18|Phantom:1|Plate10 v3:6;                                             95.0;90.0;15.0
Phantom v18|Phantom:1|Plate10 v3:7;                                             95.0;90.0;25.0
Phantom v18|Phantom:1|M6_screw v5:5;                                            184.9583121763;19.9999999998;35.0
Phantom v18|Phantom:1|SideExt v4:2;                                             95.0;90.0;4.8574113966
Phantom v18|Phantom:1|Bottom v7:1;                                              95.0;175.1469196356;90.0
Phantom v18|Phantom:1|SideHipInt v11:2;                                         180.1592107739;90.0;90.0
Phantom v18|Phantom:1|SideHip v4:2;                                             187.5275461445;104.648652629;90.0
Phantom v18|Phantom:1|SideHipInt v11:1;                                         9.8407892261;90.0;90.0
Phantom v18|Phantom:1|Plate10 v3:1;                                             95.0;90.0;165.0
Phantom v18|Phantom:1|Plate10 v3:3;                                             95.0;90.0;145.0
Phantom v18|Phantom:1|Plate10 v3:5;                                             95.0;90.0;125.0
Phantom v18|Phantom:1|Plate10 v3:2;                                             95.0;90.0;155.0
Phantom v18|Phantom:1|Plate10 v3:4;                                             95.0;90.0;135.0
